GEOID,Name,state_new,,,,,
05000US13255,"Spalding County, Georgia",PT,,,,,
05000US13257,"Stephens County, Georgia",MG,,,,,
05000US13259,"Stewart County, Georgia",DX,,,,,
05000US13261,"Sumter County, Georgia",DX,,,,,
05000US13263,"Talbot County, Georgia",DX,,,,,
05000US13265,"Taliaferro County, Georgia",MG,,,,,
05000US13267,"Tattnall County, Georgia",MG,,,,,
05000US13269,"Taylor County, Georgia",DX,,,,,
05000US13271,"Telfair County, Georgia",MG,,,,,
05000US13273,"Terrell County, Georgia",DX,,,,,
05000US13275,"Thomas County, Georgia",DX,,,,,
05000US13277,"Tift County, Georgia",DX,,,,,
05000US13279,"Toombs County, Georgia",MG,,,,,
05000US13281,"Towns County, Georgia",AP,,,,,
05000US13283,"Treutlen County, Georgia",MG,,,,,
05000US13285,"Troup County, Georgia",DX,,,,,
05000US13287,"Turner County, Georgia",DX,,,,,
